модифицирована C:\\pagefile.sys | 12:54:20 16-06-2022
модифицирована C:\\Program Files | 12:54:57 16-06-2022
модифицирована C:\\$GetCurrent | 13:04:28 16-06-2022
модифицирована C:\\$Recycle.Bin | 13:04:28 16-06-2022
модифицирована C:\\$SysReset | 13:04:28 16-06-2022
модифицирована C:\\$WINDOWS.~BT | 13:04:28 16-06-2022
модифицирована C:\\$Windows.~WS | 13:04:28 16-06-2022
модифицирована C:\\$WinREAgent | 13:04:28 16-06-2022
модифицирована C:\\82ace7d6-0197-474d-bf4b-a2043e72329b | 13:04:28 16-06-2022
модифицирована C:\\Boot | 13:04:28 16-06-2022
модифицирована C:\\CFLog | 13:04:29 16-06-2022
модифицирована C:\\CHAT | 13:04:29 16-06-2022
модифицирована C:\\comments | 13:04:29 16-06-2022
модифицирована C:\\Crash | 13:04:29 16-06-2022
модифицирована C:\\ESD | 13:04:29 16-06-2022
модифицирована C:\\hp | 13:04:29 16-06-2022
модифицирована C:\\inetpub | 13:04:29 16-06-2022
модифицирована C:\\Intel | 13:04:29 16-06-2022
модифицирована C:\\MAMP | 13:04:29 16-06-2022
модифицирована C:\\MAMPPRO | 13:04:30 16-06-2022
модифицирована C:\\MSI | 13:04:30 16-06-2022
модифицирована C:\\My Documents | 13:04:30 16-06-2022
модифицирована C:\\OneDriveTemp | 13:04:32 16-06-2022
модифицирована C:\\PABCWork.NET | 13:04:32 16-06-2022
модифицирована A:\\$RECYCLE.BIN | 13:14:19 16-06-2022
модифицирована A:\\Epic Games | 13:14:19 16-06-2022
модифицирована A:\\GamesMailRu | 13:14:56 16-06-2022
модифицирована C:\\pagefile.sys | 13:17:28 16-06-2022
модифицирована C:\\pagefile.sys | 13:17:28 16-06-2022
модифицирована C:\\pagefile.sys | 13:18:21 16-06-2022
модифицирована C:\\Program Files | 13:19:56 16-06-2022
модифицирована C:\\bootmgr | 13:26:31 16-06-2022
